"State","Year","Month","Period","Indicator","Data Value","Percent Complete","Percent Pending Investigation","State Name","Footnote","Footnote Symbol","Predicted Value"
"OK","2025","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","513","100","0.103071994","Oklahoma","Underreported due to incomplete data.","*","518"
"OK","2025","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","507","100","0.10982361","Oklahoma","Underreported due to incomplete data.","*","511"
"OK","2025","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","501","100","0.163512151","Oklahoma","Underreported due to incomplete data.","*","508"
"OK","2025","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","467","100","0.364233199","Oklahoma","Underreported due to incomplete data.","*","484"
"OK","2015","January","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","72","100","0.021170742","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","72"
"OK","2015","February","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","78","100","0.018431724","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","78"
"OK","2015","March","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","76","100","0.018400231","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","76"
"OK","2015","April","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","81","100","0.018418145","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","81"
"OK","2015","May","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","79","100","0.018427357","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","79"
"OK","2015","June","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","89","100","0.023597892","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","89"
"OK","2015","July","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","93","100","0.020946247","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","93"
"OK","2015","August","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","89","100","0.015670297","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","89"
"OK","2015","September","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","87","100","0.018304003","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","87"
"OK","2015","October","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","92","100","0.01829587","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","92"
"OK","2015","November","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","94","100","0.020899734","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","94"
"OK","2015","December","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","92","100","0.018266747","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","92"
"OK","2016","January","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","93","100","0.018407005","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","93"
"OK","2016","February","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","93","100","0.01845213","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","93"
"OK","2016","March","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","96","100","0.021157305","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","96"
"OK","2016","April","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","95","100","0.023781841","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","95"
"OK","2016","May","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","102","100","0.02631025","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","102"
"OK","2016","June","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","90","100","0.021142208","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","90"
"OK","2016","July","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","89","100","0.021165701","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","89"
"OK","2016","August","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","97","100","0.021111522","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","97"
"OK","2016","September","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","99","100","0.02102773","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","99"
"OK","2016","October","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","91","100","0.015770798","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","91"
"OK","2016","November","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","88","100","0.013144059","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","88"
"OK","2016","December","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","95","100","0.013099293","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","95"
"OK","2017","January","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","102","100","0.01303985","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","102"
"OK","2017","February","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","105","100","0.012981281","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","105"
"OK","2017","March","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","105","100","0.010358401","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","105"
"OK","2017","April","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","109","100","0.007743534","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","109"
"OK","2017","May","12 month-ending","Synthetic opioids, excl. methadone (T40.4)","103","100","0.00517023","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","103"
